asset,status,samples,channels,frequency,length_seconds,load_state
"Assets/Resources/audio/game0.ogg",ok,7867840,1,48000,163.913,Unloaded
"Assets/Resources/audio/game1.ogg",ok,8390592,1,48000,174.804,Unloaded
"Assets/Resources/audio/menu.ogg",ok,3496384,1,44100,79.283,Unloaded
"Assets/Resources/sounds/sfx/game/VYBUCH_fdn_explosion_detonation-louder-cut.wav",ok,81216,1,44100,1.842,Loaded
"Assets/Resources/sounds/sfx/game/ZOBRAZENILABELU_bullet_casing_9mm_drop_on_dirt_02.wav",ok,22592,1,44100,0.512,Loaded
"Assets/Resources/sounds/sfx/game/new/AIRSTRIKE.wav",ok,84032,1,22050,3.811,Loading
"Assets/Resources/sounds/sfx/game/new/BULLET_CASING_DROP_1.wav",ok,24576,1,48000,0.512,Loading
"Assets/Resources/sounds/sfx/game/new/BULLET_CASING_DROP_2.wav",ok,24000,1,48000,0.500,Loading
"Assets/Resources/sounds/sfx/game/new/BULLET_CASING_DROP_3.wav",ok,40448,1,48000,0.843,Loading
"Assets/Resources/sounds/sfx/game/new/CARD_ENEMY.wav",ok,60544,1,43078,1.405,Loading
"Assets/Resources/sounds/sfx/game/new/CARD_PLAYER.wav",ok,54784,1,43781,1.251,Loading
"Assets/Resources/sounds/sfx/game/new/COUNTDOWN_BEEP_V4.wav",ok,12224,1,43781,0.279,Loading
"Assets/Resources/sounds/sfx/game/new/CRATE_DESTROYED.wav",ok,30336,1,48000,0.632,Loading
"Assets/Resources/sounds/sfx/game/new/CRATE_DESTROYED_BY_ENEMY.wav",ok,24384,1,48000,0.508,Loading
"Assets/Resources/sounds/sfx/game/new/CRATE_FALL.wav",ok,18880,1,48000,0.393,Loading
"Assets/Resources/sounds/sfx/game/new/CRATE_INCOMING.wav",ok,168000,1,44100,3.810,Loading
"Assets/Resources/sounds/sfx/game/new/CRITICAL_HIT_1.wav",ok,15040,1,48000,0.313,Loading
"Assets/Resources/sounds/sfx/game/new/CRITICAL_HIT_2.wav",ok,15040,1,48000,0.313,Loading
"Assets/Resources/sounds/sfx/game/new/DEPLOY_UNITS.wav",ok,8704,1,43781,0.199,Loading
"Assets/Resources/sounds/sfx/game/new/ELECTRIC_TRAP_KILL_1.wav",ok,42048,1,48000,0.876,Loading
"Assets/Resources/sounds/sfx/game/new/ELECTRIC_TRAP_KILL_2.wav",ok,42048,1,48000,0.876,Loading
"Assets/Resources/sounds/sfx/game/new/ENEMY_AUG.wav",ok,55168,1,44100,1.251,Loading
"Assets/Resources/sounds/sfx/game/new/EXPLOSION_BAREL.wav",ok,74048,1,38859,1.906,Loading
"Assets/Resources/sounds/sfx/game/new/EXPLOSION_LARGE.wav",ok,93824,1,43781,2.143,Loading
"Assets/Resources/sounds/sfx/game/new/EXPLOSION_MEDIUM.wav",ok,80768,1,42375,1.906,Loading
"Assets/Resources/sounds/sfx/game/new/EXPLOSION_MOLOTOV.wav",ok,96896,1,40968,2.365,Loading
"Assets/Resources/sounds/sfx/game/new/EXPLOSION_SMALL.wav",ok,80000,1,48000,1.667,Loading
"Assets/Resources/sounds/sfx/game/new/FIGHT.wav",ok,68288,1,22050,3.097,Loading
"Assets/Resources/sounds/sfx/game/new/HEARTBEAT_2.wav",ok,6208,1,10031,0.619,Loading
"Assets/Resources/sounds/sfx/game/new/IMMUNE.wav",ok,12032,1,48000,0.251,Loading
"Assets/Resources/sounds/sfx/game/new/INTRODUCTION.wav",ok,57152,1,48000,1.191,Loading
"Assets/Resources/sounds/sfx/game/new/INTRODUCTION_VS.wav",ok,28864,1,26906,1.073,Loading
"Assets/Resources/sounds/sfx/game/new/INVADER_SHIELD_DESTROY.wav",ok,72000,1,48000,1.500,Loaded
"Assets/Resources/sounds/sfx/game/new/INVADER_SHIELD_REGEN.wav",ok,53120,1,36750,1.445,Loaded
"Assets/Resources/sounds/sfx/game/new/LOST_SOUND.wav",ok,113152,1,39562,2.860,Loading
"Assets/Resources/sounds/sfx/game/new/MINE_BEEP.wav",ok,9216,1,14250,0.647,Loading
"Assets/Resources/sounds/sfx/game/new/NEWWAVE.wav",ok,102400,1,48000,2.133,Loading
"Assets/Resources/sounds/sfx/game/new/OVERTIME.wav",ok,70720,1,22050,3.207,Loading
"Assets/Resources/sounds/sfx/game/new/OVERTIME_ALARM.wav",ok,26560,1,22050,1.205,Loading
"Assets/Resources/sounds/sfx/game/new/PLAYER_AUG.wav",ok,49664,1,44100,1.126,Loading
"Assets/Resources/sounds/sfx/game/new/PLAYER_HIT_1.wav",ok,27328,1,48000,0.569,Loading
"Assets/Resources/sounds/sfx/game/new/PLAYER_HIT_2.wav",ok,27328,1,48000,0.569,Loading
"Assets/Resources/sounds/sfx/game/new/PLAYER_HIT_3.wav",ok,19648,1,48000,0.409,Loading
"Assets/Resources/sounds/sfx/game/new/PLAYER_HIT_4.wav",ok,19200,1,48000,0.400,Loading
"Assets/Resources/sounds/sfx/game/new/RELOAD_1.wav",ok,56768,1,44100,1.287,Loading
"Assets/Resources/sounds/sfx/game/new/RELOAD_PISTOL.wav",ok,57920,1,44100,1.313,Loading
"Assets/Resources/sounds/sfx/game/new/RIBBON.wav",ok,56384,1,40968,1.376,Loading
"Assets/Resources/sounds/sfx/game/new/SHIELD_DESTROYED.wav",ok,71552,1,48000,1.491,Loading
"Assets/Resources/sounds/sfx/game/new/SHIELD_HIT_1.wav",ok,15168,1,44100,0.344,Loading
"Assets/Resources/sounds/sfx/game/new/SHIELD_HIT_2.wav",ok,15104,1,44100,0.342,Loading
"Assets/Resources/sounds/sfx/game/new/SHIELD_HIT_3.wav",ok,15168,1,44100,0.344,Loading
"Assets/Resources/sounds/sfx/game/new/SHIELD_HIT_4.wav",ok,15744,1,44100,0.357,Loading
"Assets/Resources/sounds/sfx/game/new/SHIELD_HIT_5.wav",ok,20096,1,44100,0.456,Loading
"Assets/Resources/sounds/sfx/game/new/SHIELD_HIT_6.wav",ok,19968,1,44100,0.453,Loading
"Assets/Resources/sounds/sfx/game/new/SHIELD_HIT_7.wav",ok,15104,1,44100,0.342,Loading
"Assets/Resources/sounds/sfx/game/new/SHIELD_HIT_8.wav",ok,16640,1,44100,0.377,Loading
"Assets/Resources/sounds/sfx/game/new/TURRET.wav",ok,42240,1,48000,0.880,Loading
"Assets/Resources/sounds/sfx/game/new/WAVECOMPLETED.wav",ok,145536,1,44100,3.300,Loading
"Assets/Resources/sounds/sfx/game/new/WEAPON_SWITCH_EXPLOSIVE.wav",ok,20544,1,48000,0.428,Loading
"Assets/Resources/sounds/sfx/game/new/WEAPON_SWITCH_HANDGUN.wav",ok,8768,1,48000,0.183,Loading
"Assets/Resources/sounds/sfx/game/new/WEAPON_SWITCH_PRIMARY.wav",ok,15488,1,48000,0.323,Loading
"Assets/Resources/sounds/sfx/game/new/WEAPON_SWITCH_SECONDARY.wav",ok,16448,1,48000,0.343,Loading
"Assets/Resources/sounds/sfx/game/new/WIN_SOUND.wav",ok,142336,1,44100,3.228,Loading
"Assets/Resources/sounds/sfx/game/new/YOULOST.wav",ok,93248,1,22050,4.229,Loading
"Assets/Resources/sounds/sfx/game/new/YOUWIN.wav",ok,73536,1,22050,3.335,Loaded
"Assets/Resources/sounds/sfx/game/new/todo/CRATE_IMPACT_1.wav",ok,3904,1,32531,0.120,Loaded
"Assets/Resources/sounds/sfx/game/new/todo/CRATE_IMPACT_2.wav",ok,7936,1,48000,0.165,Loaded
"Assets/Resources/sounds/sfx/game/new/todo/HEARTBEAT_1.wav",ok,4928,1,7921,0.622,Loaded
"Assets/Resources/sounds/sfx/game/new/todo/HEARTBEAT_3.wav",ok,4928,1,7921,0.622,Loaded
"Assets/Resources/sounds/sfx/game/new/todo/PLAYER_HIT_HARD.wav",ok,16128,1,44100,0.366,Loaded
"Assets/Resources/sounds/sfx/game/success_playful_23.wav",ok,50432,1,44100,1.144,Loaded
"Assets/Resources/sounds/sfx/game/units/breach/BreachC4Beep.wav",ok,36416,1,24000,1.517,Loaded
"Assets/Resources/sounds/sfx/game/units/breach/BreachC4Explode.wav",ok,41344,1,44100,0.938,Loaded
"Assets/Resources/sounds/sfx/game/units/breach/BreachSpecialAbilityShield.wav",ok,41344,1,44100,0.938,Loaded
"Assets/Resources/sounds/sfx/game/units/breach/BreachTrigger1.wav",ok,5568,1,44100,0.126,Loaded
"Assets/Resources/sounds/sfx/game/units/breach/BreachTrigger2.wav",ok,1664,1,44100,0.038,Loaded
"Assets/Resources/sounds/sfx/game/units/breach/BreachTurretMove.wav",ok,11072,1,44100,0.251,Loaded
"Assets/Resources/sounds/sfx/game/units/breach/BreachTurretShoot.wav",ok,22080,1,44100,0.501,Loaded
"Assets/Resources/sounds/sfx/game/units/havoc/Havoc_Death.wav",ok,54016,1,48000,1.125,Loaded
"Assets/Resources/sounds/sfx/game/units/havoc/Havoc_Engine.wav",ok,192000,1,48000,4.000,Loaded
"Assets/Resources/sounds/sfx/game/units/havoc/Havoc_Spawn.wav",ok,96000,1,48000,2.000,Loaded
"Assets/Resources/sounds/sfx/game/units/instinct/Instinct_LaserEnd.wav",ok,35840,1,44100,0.813,Loaded
"Assets/Resources/sounds/sfx/game/units/instinct/Instinct_LaserHurt.wav",ok,165376,1,44100,3.750,Loaded
"Assets/Resources/sounds/sfx/game/units/instinct/Instinct_LaserStart.wav",ok,220544,1,44100,5.001,Loaded
"Assets/Resources/sounds/sfx/game/units/overseer/OverSeer_Spawn_Kamikaze.ogg",ok,151040,1,44100,3.425,Loaded
"Assets/Resources/sounds/sfx/game/units/overseer/OverSeer_Spawn_Orb.ogg",ok,171008,1,44100,3.878,Loaded
"Assets/Resources/sounds/sfx/game/units/overseer/Overseer_Orb_Rocket.ogg",ok,61120,1,44100,1.386,Loaded
"Assets/Resources/sounds/sfx/game/units/riko/Riko_MainShot.ogg",ok,70080,1,44100,1.589,Loaded
"Assets/Resources/sounds/sfx/game/units/riko/Riko_RicochetShot.ogg",ok,12032,1,48000,0.251,Loaded
"Assets/Resources/sounds/sfx/game/units/riko/Riko_spawn.ogg",ok,66368,1,48000,1.383,Loaded
"Assets/Resources/sounds/sfx/game/units/specter/Specter_GhostModeDisable.ogg",ok,77632,1,44100,1.760,Loaded
"Assets/Resources/sounds/sfx/game/units/specter/Specter_GhostModeEnable.ogg",ok,77376,1,44100,1.755,Loaded
"Assets/Resources/sounds/sfx/game/units/surge/Surge_Attack.ogg",ok,42304,1,44100,0.959,Loaded
"Assets/Resources/sounds/sfx/game/units/surge/Surge_ReplicaSpawn.ogg",ok,80704,1,44100,1.830,Loaded
"Assets/Resources/sounds/sfx/menu/COUNTERelectronicblip01.wav",ok,640,1,18412,0.035,Loaded
"Assets/Resources/sounds/sfx/menu/bwv_mechanical_stamp_02.wav",ok,74048,1,34467,2.148,Loaded
"Assets/Resources/sounds/sfx/menu/cinematic_hit_explosion_05.wav",ok,92800,1,36393,2.550,Loaded
"Assets/Resources/sounds/sfx/menu/new/AugReceived.wav",ok,99264,1,44100,2.251,Loaded
"Assets/Resources/sounds/sfx/menu/new/BOOTCAMP_CLICK.wav",ok,14272,1,44100,0.324,Loaded
"Assets/Resources/sounds/sfx/menu/new/BOOTCAMP_DIALOG_DISSAPEAR.wav",ok,19904,1,44100,0.451,Loaded
"Assets/Resources/sounds/sfx/menu/new/BOOTCAMP_DIALOG_POPUP.wav",ok,48576,1,48000,1.012,Loaded
"Assets/Resources/sounds/sfx/menu/new/BOOTCAMP_DIALOG_POPUP_V3.wav",ok,25344,1,44100,0.575,Loaded
"Assets/Resources/sounds/sfx/menu/new/BOOTCAMP_ENEMY_PRESENT.wav",ok,95936,1,44100,2.175,Loaded
"Assets/Resources/sounds/sfx/menu/new/BOOTCAMP_INTRO.wav",ok,97024,1,44100,2.200,Loaded
"Assets/Resources/sounds/sfx/menu/new/BOOTCAMP_OBJECTIVE_COMPLETE.wav",ok,38400,1,44100,0.871,Loaded
"Assets/Resources/sounds/sfx/menu/new/BOOTCAMP_UNIT_PRESENT.wav",ok,80192,1,44100,1.818,Loaded
"Assets/Resources/sounds/sfx/menu/new/BOOTCAMP_WOOSH.wav",ok,109632,1,44100,2.486,Loaded
"Assets/Resources/sounds/sfx/menu/new/BUY_DEFAULT.wav",ok,63232,1,48000,1.317,Loaded
"Assets/Resources/sounds/sfx/menu/new/BUY_VIP.wav",ok,55616,1,48000,1.159,Loaded
"Assets/Resources/sounds/sfx/menu/new/CARD.wav",ok,9728,1,48000,0.203,Loaded
"Assets/Resources/sounds/sfx/menu/new/CARD_RETURN.wav",ok,5376,1,48000,0.112,Loaded
"Assets/Resources/sounds/sfx/menu/new/CARD_REWARD.wav",ok,9408,1,48000,0.196,Loaded
"Assets/Resources/sounds/sfx/menu/new/CLAIM_DAILY_ASSIGNMENTS_MONO.wav",ok,8128,1,37035,0.219,Loaded
"Assets/Resources/sounds/sfx/menu/new/CLICK_V1.wav",ok,5568,1,44484,0.125,Loaded
"Assets/Resources/sounds/sfx/menu/new/COINS_V1.wav",ok,87168,1,48000,1.816,Loaded
"Assets/Resources/sounds/sfx/menu/new/CONGRATULATIONS_SCREEN_BOOTCAMP.wav",ok,61120,1,40265,1.518,Loaded
"Assets/Resources/sounds/sfx/menu/new/COUNTDOWN_BEEP_V1.wav",ok,5504,1,43781,0.126,Loaded
"Assets/Resources/sounds/sfx/menu/new/CrateOpen.wav",ok,71680,1,44100,1.625,Loaded
"Assets/Resources/sounds/sfx/menu/new/DAILY_ASSIGNMENTS_MONO.wav",ok,102656,1,44100,2.328,Loaded
"Assets/Resources/sounds/sfx/menu/new/DOGTAG_GAIN.wav",ok,39360,1,48000,0.820,Loaded
"Assets/Resources/sounds/sfx/menu/new/DOGTAG_LOST.wav",ok,57792,1,48000,1.204,Loaded
"Assets/Resources/sounds/sfx/menu/new/Dismantle.wav",ok,47040,1,48000,0.980,Loaded
"Assets/Resources/sounds/sfx/menu/new/INVASION_DOGTAG_LOST.wav",ok,122944,1,48000,2.561,Loaded
"Assets/Resources/sounds/sfx/menu/new/ODMENA_OBECNE_V1.wav",ok,54336,1,48000,1.132,Loaded
"Assets/Resources/sounds/sfx/menu/new/OPONENT_FOUND_V1.wav",ok,108608,1,48000,2.263,Loaded
"Assets/Resources/sounds/sfx/menu/new/OPONENT_SEARCH.wav",ok,448,1,5812,0.077,Loaded
"Assets/Resources/sounds/sfx/menu/new/Promoted.wav",ok,105984,1,42375,2.501,Loaded
"Assets/Resources/sounds/sfx/menu/new/RANK_UP.wav",ok,153600,1,44484,3.453,Loaded
"Assets/Resources/sounds/sfx/menu/new/RESULT_COUNTER_BEEP.wav",ok,6016,1,48000,0.125,Loaded
"Assets/Resources/sounds/sfx/menu/new/RESULT_SCREEN_FLASH.wav",ok,6400,1,48000,0.133,Loaded
"Assets/Resources/sounds/sfx/menu/new/Reward.wav",ok,69568,1,22050,3.155,Loaded
"Assets/Resources/sounds/sfx/menu/new/STAR.wav",ok,57792,1,48000,1.204,Loaded
"Assets/Resources/sounds/sfx/menu/new/UNLOCK_V2.wav",ok,28032,1,48000,0.584,Loaded
"Assets/Resources/sounds/sfx/menu/new/UPGRADE.wav",ok,32832,1,40968,0.801,Loaded
"Assets/Resources/sounds/sfx/menu/new/UPGRADE_ACTIVATE.wav",ok,33920,1,48000,0.707,Loaded
"Assets/Resources/sounds/sfx/menu/new/Unit_Promoted.wav",ok,75392,1,39562,1.906,Loaded
"Assets/Resources/sounds/sfx/menu/new/WEAPON_EQUIP_CLICK_V1.wav",ok,18048,1,48000,0.376,Loaded
"Assets/Resources/sounds/sfx/menu/new/openlootbox-ending-itemcompleted.wav",ok,189184,1,48000,3.941,Loaded
"Assets/Resources/sounds/sfx/menu/new/openlootbox-ending-legendary.wav",ok,140416,1,48000,2.925,Loaded
"Assets/Resources/sounds/sfx/menu/new/openlootbox.wav",ok,86400,1,48000,1.800,Loaded
"Assets/Resources/sounds/sfx/menu/new/unused/BATTLE_REWARDS_WOOSH.wav",ok,76800,1,48000,1.600,Loaded
"Assets/Resources/sounds/sfx/menu/new/unused/CLICK_V2.wav",ok,5568,1,44484,0.125,Loaded
"Assets/Resources/sounds/sfx/menu/new/unused/CLICK_V3.wav",ok,6016,1,48000,0.125,Loaded
"Assets/Resources/sounds/sfx/menu/new/unused/CLICK_V4.wav",ok,6016,1,48000,0.125,Loaded
"Assets/Resources/sounds/sfx/menu/new/unused/CLICK_V5.wav",ok,6016,1,48000,0.125,Loaded
"Assets/Resources/sounds/sfx/menu/new/unused/COINS_V2.wav",ok,63296,1,48000,1.319,Loaded
"Assets/Resources/sounds/sfx/menu/new/unused/COUNTDOWN_BEEP_V2.wav",ok,1792,1,11437,0.157,Loaded
"Assets/Resources/sounds/sfx/menu/new/unused/COUNTDOWN_BEEP_V3.wav",ok,7488,1,48000,0.156,Loaded
"Assets/Resources/sounds/sfx/menu/new/unused/OPONENT_FOUND_V2.wav",ok,83584,1,48000,1.741,Loaded
"Assets/Resources/sounds/sfx/menu/new/unused/UNLOCK_V1.wav",ok,27072,1,48000,0.564,Loaded
"Assets/Resources/sounds/sfx/menu/new/unused/WEAPON_EQUIP_CLICK_V2.wav",ok,14656,1,48000,0.305,Loaded
"Assets/Resources/sounds/sfx/menu/new/unused/WEAPON_EQUIP_CLICK_V3.wav",ok,21888,1,48000,0.456,Loaded
"Assets/Resources/sounds/sfx/menu/unit-promoted.wav",ok,245056,1,44100,5.557,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/backbone/BackBoneDeath.wav",ok,43328,1,48000,0.903,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/backbone/BackBoneReachTarget.wav",ok,58752,1,48000,1.224,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/buggy/BUGGY_DEATH.wav",ok,40320,1,40265,1.001,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/buggy/BUGGY_ENGINE LOOP.wav",ok,221504,1,40265,5.501,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/buggy/BUGGY_START.wav",ok,226496,1,40265,5.625,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/bunker/Bunker_Death.wav",ok,98752,1,44100,2.239,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/bunker/Bunker_Spawn.wav",ok,220544,1,44100,5.001,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/cobra/COBRA_DEATH.wav",ok,49664,1,40968,1.212,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/cobra/COBRA_ENGINE_LOOP.wav",ok,193856,1,43078,4.500,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/cobra/COBRA_MEDKIT_DROP.wav",ok,15808,1,41671,0.379,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/cobra/COBRA_MEDKIT_PICKUP.wav",ok,33408,1,48000,0.696,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/cobra/COBRA_START.wav",ok,133184,1,40968,3.251,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/drone/DRONE_CRIT.wav",ok,28416,1,48000,0.592,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/drone/DRONE_DEATH.wav",ok,102016,1,48000,2.125,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/drone/DRONE_ENGINE_LOOP.wav",ok,148352,1,42375,3.501,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/drone/DRONE_START.wav",ok,153600,1,41671,3.686,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/exo/EXO_LAND.wav",ok,56512,1,42375,1.334,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/exo/EXO_ROCKET.wav",ok,14016,1,48000,0.292,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/exo/EXO_STEP.wav",ok,78720,1,48000,1.640,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/humvee/HUMVEE_DEATH.wav",ok,55424,1,40265,1.376,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/humvee/HUMVEE_ENGINE_LOOP.wav",ok,194432,1,35343,5.501,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/humvee/HUMVEE_START.wav",ok,197568,1,36750,5.376,Loaded
"Assets/Resources/sounds/sfx/vehicles/new/mech/crusher-walk-short.wav",ok,81600,1,48000,1.700,Loaded
