asset,component_path,component_type,list_field,removed_index,removed_name,missing_member
"Assets/Scenes/MainScene.unity","Managers/Levels Manager","LevelManager","behaviours",40,"<missing-reference>","<entry>"
"Assets/Scenes/MainScene.unity","Managers/Levels Manager","LevelManager","behaviours",39,"<missing-reference>","<entry>"
"Assets/Scenes/MainScene.unity","Managers/Levels Manager","LevelManager","behaviours",38,"<missing-reference>","<entry>"
"Assets/Scenes/MainScene.unity","Managers/Levels Manager","LevelManager","behaviours",37,"<missing-reference>","<entry>"
"Assets/Scenes/MainScene.unity","Managers/Levels Manager","LevelManager","behaviours",36,"<missing-reference>","<entry>"
"Assets/Scenes/MainScene.unity","Managers/Levels Manager","LevelManager","behaviours",35,"<missing-reference>","<entry>"
"Assets/Scenes/MainScene.unity","Managers/Levels Manager","LevelManager","behaviours",34,"<missing-reference>","<entry>"
"Assets/Scenes/MainScene.unity","Managers/Levels Manager","LevelManager","behaviours",33,"<missing-reference>","<entry>"
"Assets/Scenes/MainScene.unity","Managers/Levels Manager","LevelManager","behaviours",32,"<missing-reference>","<entry>"
"Assets/Scenes/MainScene.unity","Managers/Levels Manager","LevelManager","behaviours",31,"<missing-reference>","<entry>"
"Assets/Scenes/MainScene.unity","Managers/Levels Manager","LevelManager","behaviours",30,"<missing-reference>","<entry>"
"Assets/Scenes/MainScene.unity","Managers/Levels Manager","LevelManager","behaviours",29,"<missing-reference>","<entry>"
"Assets/Scenes/MainScene.unity","Managers/Levels Manager","LevelManager","behaviours",28,"<missing-reference>","<entry>"
"Assets/Scenes/MainScene.unity","Managers/Levels Manager","LevelManager","behaviours",27,"<missing-reference>","<entry>"
"Assets/Scenes/MainScene.unity","Managers/Levels Manager","LevelManager","behaviours",26,"<missing-reference>","<entry>"
"Assets/Scenes/MainScene.unity","Managers/Levels Manager","LevelManager","behaviours",25,"<missing-reference>","<entry>"
"Assets/Scenes/MainScene.unity","Managers/Levels Manager","LevelManager","behaviours",24,"<missing-reference>","<entry>"
"Assets/Scenes/MainScene.unity","Managers/Levels Manager","LevelManager","additionalBehaviours",4,"<missing-reference>","<entry>"
"Assets/Scenes/MainScene.unity","Managers/Levels Manager","LevelManager","additionalBehaviours",3,"<missing-reference>","<entry>"
