scene,loaded,root_objects,game_objects,components,missing_scripts,exception
"Assets/Scenes/SplashScene.unity",true,7,52,119,0,
"Assets/Scenes/MainScene.unity",true,17,26605,56463,0,
"Assets/Scenes/Desert_New.unity",true,1,509,1484,0,
"Assets/Scenes/Desert_Multiplayer.unity",true,1,826,2350,0,
"Assets/Scenes/Snow_Multiplayer.unity",true,1,876,2582,0,
"Assets/Scenes/Hangar_Multiplayer.unity",true,1,1129,2869,0,
"Assets/Scenes/Hangar_Single.unity",true,1,969,2494,0,
"Assets/Scenes/Aztec_Multiplayer.unity",true,1,785,2226,0,
"Assets/Scenes/Snow_Single.unity",true,2,577,1622,0,
"Assets/Scenes/Aztec_Single.unity",true,1,581,1525,0,
"Assets/Scenes/City_Multiplayer.unity",true,1,1030,2684,0,
"Assets/Scenes/City_Single.unity",true,1,795,2159,0,
"Assets/Scenes/Park_Multiplayer.unity",true,1,1004,2855,0,
"Assets/Scenes/Park_Single.unity",true,1,698,2159,0,
