"Path","Changed","OldRiffSize","NewRiffSize","OldDataSize","NewDataSize"
"Resources\sounds\sfx\game\success_playful_23.wav","True","0","100902","0","100864"
"Resources\sounds\sfx\game\VYBUCH_fdn_explosion_detonation-louder-cut.wav","True","0","162470","0","162432"
"Resources\sounds\sfx\game\ZOBRAZENILABELU_bullet_casing_9mm_drop_on_dirt_02.wav","True","0","45222","0","45184"
"Resources\sounds\sfx\game\new\AIRSTRIKE.wav","True","0","168102","0","168064"
"Resources\sounds\sfx\game\new\BULLET_CASING_DROP_1.wav","True","0","49190","0","49152"
"Resources\sounds\sfx\game\new\BULLET_CASING_DROP_2.wav","True","0","48038","0","48000"
"Resources\sounds\sfx\game\new\BULLET_CASING_DROP_3.wav","True","0","80934","0","80896"
"Resources\sounds\sfx\game\new\CARD_ENEMY.wav","True","0","121126","0","121088"
"Resources\sounds\sfx\game\new\CARD_PLAYER.wav","True","0","109606","0","109568"
"Resources\sounds\sfx\game\new\COUNTDOWN_BEEP_V4.wav","True","0","24486","0","24448"
"Resources\sounds\sfx\game\new\CRATE_DESTROYED.wav","True","0","60710","0","60672"
"Resources\sounds\sfx\game\new\CRATE_DESTROYED_BY_ENEMY.wav","True","0","48806","0","48768"
"Resources\sounds\sfx\game\new\CRATE_FALL.wav","True","0","37798","0","37760"
"Resources\sounds\sfx\game\new\CRATE_INCOMING.wav","True","0","336038","0","336000"
"Resources\sounds\sfx\game\new\CRITICAL_HIT_1.wav","True","0","30118","0","30080"
"Resources\sounds\sfx\game\new\CRITICAL_HIT_2.wav","True","0","30118","0","30080"
"Resources\sounds\sfx\game\new\DEPLOY_UNITS.wav","True","0","17446","0","17408"
"Resources\sounds\sfx\game\new\ELECTRIC_TRAP_KILL_1.wav","True","0","84134","0","84096"
"Resources\sounds\sfx\game\new\ELECTRIC_TRAP_KILL_2.wav","True","0","84134","0","84096"
"Resources\sounds\sfx\game\new\ENEMY_AUG.wav","True","0","110374","0","110336"
"Resources\sounds\sfx\game\new\EXPLOSION_BAREL.wav","True","0","148134","0","148096"
"Resources\sounds\sfx\game\new\EXPLOSION_LARGE.wav","True","0","187686","0","187648"
"Resources\sounds\sfx\game\new\EXPLOSION_MEDIUM.wav","True","0","161574","0","161536"
"Resources\sounds\sfx\game\new\EXPLOSION_MOLOTOV.wav","True","0","193830","0","193792"
"Resources\sounds\sfx\game\new\EXPLOSION_SMALL.wav","True","0","160038","0","160000"
"Resources\sounds\sfx\game\new\FIGHT.wav","True","0","136614","0","136576"
"Resources\sounds\sfx\game\new\HEARTBEAT_2.wav","True","0","12454","0","12416"
"Resources\sounds\sfx\game\new\IMMUNE.wav","True","0","24102","0","24064"
"Resources\sounds\sfx\game\new\INTRODUCTION.wav","True","0","114342","0","114304"
"Resources\sounds\sfx\game\new\INTRODUCTION_VS.wav","True","0","57766","0","57728"
"Resources\sounds\sfx\game\new\INVADER_SHIELD_DESTROY.wav","True","0","144038","0","144000"
"Resources\sounds\sfx\game\new\INVADER_SHIELD_REGEN.wav","True","0","106278","0","106240"
"Resources\sounds\sfx\game\new\LOST_SOUND.wav","True","0","226342","0","226304"
"Resources\sounds\sfx\game\new\MINE_BEEP.wav","True","0","18470","0","18432"
"Resources\sounds\sfx\game\new\NEWWAVE.wav","True","0","204838","0","204800"
"Resources\sounds\sfx\game\new\OVERTIME.wav","True","0","141478","0","141440"
"Resources\sounds\sfx\game\new\OVERTIME_ALARM.wav","True","0","53158","0","53120"
"Resources\sounds\sfx\game\new\PLAYER_AUG.wav","True","0","99366","0","99328"
"Resources\sounds\sfx\game\new\PLAYER_HIT_1.wav","True","0","54694","0","54656"
"Resources\sounds\sfx\game\new\PLAYER_HIT_2.wav","True","0","54694","0","54656"
"Resources\sounds\sfx\game\new\PLAYER_HIT_3.wav","True","0","39334","0","39296"
"Resources\sounds\sfx\game\new\PLAYER_HIT_4.wav","True","0","38438","0","38400"
"Resources\sounds\sfx\game\new\RELOAD_1.wav","True","0","113574","0","113536"
"Resources\sounds\sfx\game\new\RELOAD_PISTOL.wav","True","0","115878","0","115840"
"Resources\sounds\sfx\game\new\RIBBON.wav","True","0","112806","0","112768"
"Resources\sounds\sfx\game\new\SHIELD_DESTROYED.wav","True","0","143142","0","143104"
"Resources\sounds\sfx\game\new\SHIELD_HIT_1.wav","True","0","30374","0","30336"
"Resources\sounds\sfx\game\new\SHIELD_HIT_2.wav","True","0","30246","0","30208"
"Resources\sounds\sfx\game\new\SHIELD_HIT_3.wav","True","0","30374","0","30336"
"Resources\sounds\sfx\game\new\SHIELD_HIT_4.wav","True","0","31526","0","31488"
"Resources\sounds\sfx\game\new\SHIELD_HIT_5.wav","True","0","40230","0","40192"
"Resources\sounds\sfx\game\new\SHIELD_HIT_6.wav","True","0","39974","0","39936"
"Resources\sounds\sfx\game\new\SHIELD_HIT_7.wav","True","0","30246","0","30208"
"Resources\sounds\sfx\game\new\SHIELD_HIT_8.wav","True","0","33318","0","33280"
"Resources\sounds\sfx\game\new\TURRET.wav","True","0","84518","0","84480"
"Resources\sounds\sfx\game\new\WAVECOMPLETED.wav","True","0","291110","0","291072"
"Resources\sounds\sfx\game\new\WEAPON_SWITCH_EXPLOSIVE.wav","True","0","41126","0","41088"
"Resources\sounds\sfx\game\new\WEAPON_SWITCH_HANDGUN.wav","True","0","17574","0","17536"
"Resources\sounds\sfx\game\new\WEAPON_SWITCH_PRIMARY.wav","True","0","31014","0","30976"
"Resources\sounds\sfx\game\new\WEAPON_SWITCH_SECONDARY.wav","True","0","32934","0","32896"
"Resources\sounds\sfx\game\new\WIN_SOUND.wav","True","0","284710","0","284672"
"Resources\sounds\sfx\game\new\YOULOST.wav","True","0","186534","0","186496"
"Resources\sounds\sfx\game\new\YOUWIN.wav","True","0","147110","0","147072"
"Resources\sounds\sfx\game\new\todo\CRATE_IMPACT_1.wav","True","0","7846","0","7808"
"Resources\sounds\sfx\game\new\todo\CRATE_IMPACT_2.wav","True","0","15910","0","15872"
"Resources\sounds\sfx\game\new\todo\HEARTBEAT_1.wav","True","0","9894","0","9856"
"Resources\sounds\sfx\game\new\todo\HEARTBEAT_3.wav","True","0","9894","0","9856"
"Resources\sounds\sfx\game\new\todo\PLAYER_HIT_HARD.wav","True","0","32294","0","32256"
"Resources\sounds\sfx\game\units\breach\BreachC4Beep.wav","True","0","72870","0","72832"
"Resources\sounds\sfx\game\units\breach\BreachC4Explode.wav","True","0","82726","0","82688"
"Resources\sounds\sfx\game\units\breach\BreachSpecialAbilityShield.wav","True","0","82726","0","82688"
"Resources\sounds\sfx\game\units\breach\BreachTrigger1.wav","True","0","11174","0","11136"
"Resources\sounds\sfx\game\units\breach\BreachTrigger2.wav","True","0","3366","0","3328"
"Resources\sounds\sfx\game\units\breach\BreachTurretMove.wav","True","0","22182","0","22144"
"Resources\sounds\sfx\game\units\breach\BreachTurretShoot.wav","True","0","44198","0","44160"
"Resources\sounds\sfx\game\units\havoc\Havoc_Death.wav","True","0","108070","0","108032"
"Resources\sounds\sfx\game\units\havoc\Havoc_Engine.wav","True","0","384038","0","384000"
"Resources\sounds\sfx\game\units\havoc\Havoc_Spawn.wav","True","0","192038","0","192000"
