MainSceneRootNew/Parallax/Main Camera | active=False | depth=-2 | clear=Skybox | mask=0x02000000 | display=0 | target=<display> | rect=(x:0.00, y:0.00, width:1.00, height:1.00)
InstantBattle/Instant Battle Camera | active=False | depth=-1 | clear=Skybox | mask=0xFFFFFFFF | display=0 | target=<display> | rect=(x:0.00, y:0.00, width:1.00, height:1.00)
ArmyUnitRig/player texture camera | active=True | depth=-1 | clear=SolidColor | mask=0x00C08101 | display=0 | target=iconPlayer1 | rect=(x:0.00, y:-0.30, width:1.00, height:1.42)
MainSceneRootNew/Main Camera | active=False | depth=0 | clear=Depth | mask=0x00000000 | display=0 | target=<display> | rect=(x:0.00, y:0.00, width:1.00, height:1.00)
GUIStuff/CameraHUD | active=False | depth=10 | clear=Nothing | mask=0x00000200 | display=0 | target=<display> | rect=(x:0.00, y:0.00, width:1.00, height:1.00)
GUIStuff/UIRoot/2D Camera Background | active=True | depth=14 | clear=Depth | mask=0x00000020 | display=0 | target=<display> | rect=(x:0.00, y:0.00, width:1.00, height:1.00)
ArmyUnitRig/camera | active=False | depth=15 | clear=Nothing | mask=0x0CC0C101 | display=0 | target=<display> | rect=(x:0.00, y:-0.30, width:1.00, height:1.42)
WeaponRig/camera | active=False | depth=15 | clear=Nothing | mask=0x00020000 | display=0 | target=<display> | rect=(x:0.00, y:-0.30, width:1.00, height:1.42)
ShieldsRig/camera | active=False | depth=15 | clear=Nothing | mask=0x00000001 | display=0 | target=<display> | rect=(x:0.00, y:-0.30, width:1.00, height:1.42)
GUIStuff/UIRoot/2D Camera | active=True | depth=20 | clear=Nothing | mask=0x00000800 | display=0 | target=<display> | rect=(x:0.00, y:0.00, width:1.00, height:1.00)
LootBoxRig/camera | active=False | depth=25 | clear=Depth | mask=0x80000000 | display=0 | target=<display> | rect=(x:0.00, y:0.00, width:1.00, height:1.00)
LootBoxArenaRig/camera | active=False | depth=25 | clear=Depth | mask=0x8CC28101 | display=0 | target=<display> | rect=(x:0.00, y:0.00, width:1.00, height:1.00)
AugCrateRig/Crate Camera | active=False | depth=25 | clear=Depth | mask=0x8CC28101 | display=0 | target=<display> | rect=(x:0.00, y:0.00, width:1.00, height:1.00)
GUIStuff/UIRoot/2D Camera Loot Box | active=False | depth=26 | clear=Nothing | mask=0x80000000 | display=0 | target=<display> | rect=(x:0.00, y:0.00, width:1.00, height:1.00)
GUIStuff/touchCamera | active=False | depth=30 | clear=SolidColor | mask=0x6DDDE5DF | display=0 | target=sniperRifleTexture | rect=(x:0.00, y:0.00, width:1.00, height:1.00)
