GUIStuff/UIRoot/2D Camera Background/Background/Top Left Anchor/Tiles Background | sprite=menu-bg-tile | atlas=GuiAtlasMenuMain | size=1978x1513 | depth=2
GUIStuff/UIRoot/2D Camera Background/Background/Center Anchor/Black Overlay | sprite=whiteRectangle | atlas=GuiAtlasMenuMain | size=1921x1441 | depth=1
GUIStuff/UIRoot/2D Camera/GUIScreen Main/Bottom Left Anchor/Squad Button/Not In Squad Look/Right No Squad Size/Squad Icon | sprite=menu-squad-ico | atlas=GuiAtlasMenuMain | size=106x86 | depth=4
GUIStuff/UIRoot/2D Camera/GUIScreen Main/Bottom Left Anchor/Social 2 - Grid/2 Twitter Button/Background | sprite=menu-dailyassignments-bg | atlas=GuiAtlasMenuMain | size=260x74 | depth=2
GUIStuff/UIRoot/2D Camera/GUIScreen Main/Bottom Left Anchor/Squad Button/Border | sprite=menu-button-warpath | atlas=GuiAtlasMenuMain | size=560x216 | depth=4
GUIStuff/UIRoot/2D Camera/GUIScreen Main/Bottom Anchor/League Button/League Arc/Locked Part/Locked Icon | sprite=menu-locked | atlas=GuiAtlasMenuMain | size=115x135 | depth=30
GUIStuff/UIRoot/2D Camera/GUIScreen Main/Bottom Anchor/League Button/Panel Positions/Parent For Moving/Background | sprite=whiteRectangle | atlas=GuiAtlasMenuMain | size=600x494 | depth=1
GUIStuff/UIRoot/2D Camera/GUIScreen Main/Bottom Anchor/League Button/League Arc/Arc Sprite 1 | sprite=menu-arc-base | atlas=GuiAtlasMenuMain | size=238x246 | depth=10
GUIStuff/UIRoot/2D Camera/GUIScreen Main/Top Left Anchor/Golden Suitcase/Golden Suitcase Button/Golden Suitcase Icon | sprite=menu-golden-suitcase | atlas=GuiAtlasMenuMain | size=110x112 | depth=5
GUIStuff/UIRoot/2D Camera/GUIScreen Main/Bottom Anchor/Bottom Background | sprite=whiteRectangle | atlas=GuiAtlasMenuMain | size=1921x520 | depth=1
GUIStuff/UIRoot/2D Camera/GUIScreen Main/Top Left Anchor/Golden Suitcase/Golden Suitcase Button/Background | sprite=menu-dailyassignments-bg | atlas=GuiAtlasMenuMain | size=400x102 | depth=1
GUIStuff/UIRoot/2D Camera/GUIScreen Main/Bottom Right Anchor/Next Button Panel/Next Button/Right Button Anchor/Next Arrow | sprite=menu-army-upgrade-point-bg | atlas=GuiAtlasMenuMain | size=72x72 | depth=5
GUIStuff/UIRoot/2D Camera/GUIScreen Main/Bottom Anchor/League Button/League Arc/Arc Sprite 2 | sprite=menu-arc-base | atlas=GuiAtlasMenuMain | size=238x246 | depth=11
GUIStuff/UIRoot/2D Camera/GUIScreen Main/Bottom Left Anchor/Social 2 - Grid/1 Facebook Like Button/Background | sprite=menu-dailyassignments-bg | atlas=GuiAtlasMenuMain | size=260x74 | depth=2
GUIStuff/UIRoot/2D Camera/GUIScreen Main/Bottom Anchor/League Button/League Arc Bg | sprite=menu-arc-bg | atlas=GuiAtlasMenuMain | size=600x260 | depth=1
GUIStuff/UIRoot/2D Camera/GUIScreen Main/Bottom Right Anchor/Next Button Panel/Next Button/Background | sprite=menu-button | atlas=GuiAtlasMenuMain | size=544x218 | depth=3
GUIStuff/UIRoot/2D Camera/GUIScreen Main/Top Anchor/Assignments Button/Starter/Background | sprite=menu-dailyassignments-bg | atlas=GuiAtlasMenuMain | size=604x106 | depth=10
GUIStuff/UIRoot/2D Camera/Chat/Top Right Anchor/chatParent/Buttons/Chat Left Buttons/Chat Button/Chat Background | sprite=menu-tab-chat-ico | atlas=GuiAtlasMenuMain | size=145x128 | depth=-6
GUIStuff/UIRoot/2D Camera/Chat/Top Right Anchor/chatParent/Background/Background | sprite=whiteRectangle | atlas=GuiAtlasMenuMain | size=1520x1441 | depth=-3
GUIStuff/UIRoot/2D Camera/Chat/Top Right Anchor/chatParent/Buttons/Chat Left Buttons/Message Center Button/Message Center Background | sprite=menu-tab-notificationcenter-ico | atlas=GuiAtlasMenuMain | size=145x128 | depth=-6
GUIStuff/UIRoot/2D Camera/Chat/Top Right Anchor/chatParent/Background/Border | sprite=menu-sidetab-bg | atlas=GuiAtlasMenuMain | size=80x1441 | depth=-2
GUIStuff/UIRoot/2D Camera/Tutorial Overlay/Point To Show/Circle | sprite=game-tutorial-circle | atlas=GuiAtlasCommon | size=109x109 | depth=26
GUIStuff/UIRoot/2D Camera/Tutorial Overlay/Point To Show/Circle 2 | sprite=game-tutorial-circle | atlas=GuiAtlasCommon | size=109x109 | depth=27
GUIStuff/UIRoot/2D Camera/Tutorial Overlay/Point To Show/Hand Rotate/Hand | sprite=game-tutorial-hand | atlas=GuiAtlasCommon | size=177x236 | depth=30
GUIStuff/UIRoot/2D Camera/Overlay | sprite=overlay | atlas=<none> | size=2113x1585 | depth=-10
AugCrateRig/Crate Camera/Screen Background/Big Background/Background | sprite=whiteRectangle | atlas=GuiAtlasMenuMain | size=1432x834 | depth=-8
AugCrateRig/Crate Camera/Screen Background/Panel Glow/Small Glow | texture=whiteRectangle | size=350x200 | depth=1
AugCrateRig/Crate Camera/Screen Background/Panel Glow/Big Glow | texture=whiteRectangle | size=778x455 | depth=0
