"assembly","full_name","reason","source_path","source_guid"
"WarFriends.ResourceCompatibility.FirstPass","AnimationOrTween.Direction","assembly-local dependency","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/AnimationOrTween/Direction.cs","a09219595d605c368af07ef8de7ad106"
"WarFriends.ResourceCompatibility.FirstPass","BasicRopeTypes","assembly-local dependency","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/BasicRopeTypes.cs","6b97b5a6d24b95d51aa92962e39b5b24"
"WarFriends.ResourceCompatibility.FirstPass","BestHTTP.Authentication.AuthenticationTypes","assembly-local dependency","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/BestHTTP.Authentication/AuthenticationTypes.cs","ccc2f76460e00189483868a59f7c1e28"
"WarFriends.ResourceCompatibility.FirstPass","BestHTTP.Authentication.Credentials","assembly-local dependency","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/BestHTTP.Authentication/Credentials.cs","16751ae40ebdba37289ebc7847a2d49b"
"WarFriends.ResourceCompatibility.FirstPass","BestHTTP.Cookies.Cookie","assembly-local dependency","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/BestHTTP.Cookies/Cookie.cs","03bbe3061c77a8a657eb736d67c198f4"
"WarFriends.ResourceCompatibility.FirstPass","BestHTTP.Extensions.HeaderValue","assembly-local dependency","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/BestHTTP.Extensions/HeaderValue.cs","277395d702cc820fc8c1ad9dc6357909"
"WarFriends.ResourceCompatibility.FirstPass","BestHTTP.Forms.HTTPFieldData","assembly-local dependency","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/BestHTTP.Forms/HTTPFieldData.cs","90dbaabfca2189d899df512f852c973b"
"WarFriends.ResourceCompatibility.FirstPass","BestHTTP.Forms.HTTPFormBase","assembly-local dependency","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/BestHTTP.Forms/HTTPFormBase.cs","0059f3df76dbb989acc58f2968c0e7b9"
"WarFriends.ResourceCompatibility.FirstPass","BestHTTP.Forms.HTTPFormUsage","assembly-local dependency","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/BestHTTP.Forms/HTTPFormUsage.cs","464616bce20db28ccd1b9a1ea658808d"
"WarFriends.ResourceCompatibility.FirstPass","BestHTTP.HTTPMethods","assembly-local dependency","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/BestHTTP/HTTPMethods.cs","56d1315e835d32dc0b8f29ce284f89fe"
"WarFriends.ResourceCompatibility.FirstPass","BestHTTP.HTTPProxy","assembly-local dependency","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/BestHTTP/HTTPProxy.cs","aedbd60f3e91c624fb0d6a6e3e9d24af"
"WarFriends.ResourceCompatibility.FirstPass","BestHTTP.HTTPRange","assembly-local dependency","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/BestHTTP/HTTPRange.cs","a908b5b19744396ed600e059575bf87d"
"WarFriends.ResourceCompatibility.FirstPass","BestHTTP.HTTPRequest","assembly-local dependency","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/BestHTTP/HTTPRequest.cs","12a021cfd33a7820a482773d22fb0ed0"
"WarFriends.ResourceCompatibility.FirstPass","BestHTTP.HTTPRequestStates","assembly-local dependency","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/BestHTTP/HTTPRequestStates.cs","ea6d95c283ead0a292a3f1ab22663ebe"
"WarFriends.ResourceCompatibility.FirstPass","BestHTTP.HTTPResponse","assembly-local dependency","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/BestHTTP/HTTPResponse.cs","05c10ecf1c24b3ef16ad813405b9f90b"
"WarFriends.ResourceCompatibility.FirstPass","BestHTTP.OnBeforeRedirectionDelegate","assembly-local dependency","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/BestHTTP/OnBeforeRedirectionDelegate.cs","1aa1fdb3571b178ff700bec48c1b84df"
"WarFriends.ResourceCompatibility.FirstPass","BestHTTP.OnDownloadProgressDelegate","assembly-local dependency","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/BestHTTP/OnDownloadProgressDelegate.cs","06b4bf62deb1ed7a0b6bf91b26a820b4"
"WarFriends.ResourceCompatibility.FirstPass","BestHTTP.OnHeaderEnumerationDelegate","assembly-local dependency","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/BestHTTP/OnHeaderEnumerationDelegate.cs","7748a9bb7e3dc539c0eb4e24ef63fe56"
"WarFriends.ResourceCompatibility.FirstPass","BestHTTP.OnRequestFinishedDelegate","assembly-local dependency","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/BestHTTP/OnRequestFinishedDelegate.cs","dfe3bad7d8cbd34b56009be8064761d5"
"WarFriends.ResourceCompatibility.FirstPass","BestHTTP.OnUploadProgressDelegate","assembly-local dependency","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/BestHTTP/OnUploadProgressDelegate.cs","d753b631486d6e8a7212c6fcb652f606"
"WarFriends.ResourceCompatibility.FirstPass","BestHTTP.SupportedProtocols","assembly-local dependency","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/BestHTTP/SupportedProtocols.cs","cb86db361d545fa2d4810c5e1934049d"
