full_name,namespace,name,reason
"AnimationOrTween.Direction","AnimationOrTween","Direction","assembly-local dependency"
"BMFont","","BMFont","assembly-local dependency"
"BMGlyph","","BMGlyph","assembly-local dependency"
"BMSymbol","","BMSymbol","assembly-local dependency"
"BasicRopeTypes","","BasicRopeTypes","assembly-local dependency"
"BestHTTP.Authentication.AuthenticationTypes","BestHTTP.Authentication","AuthenticationTypes","assembly-local dependency"
"BestHTTP.Authentication.Credentials","BestHTTP.Authentication","Credentials","assembly-local dependency"
"BestHTTP.Cookies.Cookie","BestHTTP.Cookies","Cookie","assembly-local dependency"
"BestHTTP.Extensions.HeaderValue","BestHTTP.Extensions","HeaderValue","assembly-local dependency"
"BestHTTP.Forms.HTTPFieldData","BestHTTP.Forms","HTTPFieldData","assembly-local dependency"
"BestHTTP.Forms.HTTPFormBase","BestHTTP.Forms","HTTPFormBase","assembly-local dependency"
"BestHTTP.Forms.HTTPFormUsage","BestHTTP.Forms","HTTPFormUsage","assembly-local dependency"
"BestHTTP.HTTPMethods","BestHTTP","HTTPMethods","assembly-local dependency"
"BestHTTP.HTTPProxy","BestHTTP","HTTPProxy","assembly-local dependency"
"BestHTTP.HTTPRange","BestHTTP","HTTPRange","assembly-local dependency"
"BestHTTP.HTTPRequest","BestHTTP","HTTPRequest","closure root"
"BestHTTP.HTTPRequestStates","BestHTTP","HTTPRequestStates","assembly-local dependency"
"BestHTTP.HTTPResponse","BestHTTP","HTTPResponse","closure root"
"BestHTTP.OnBeforeRedirectionDelegate","BestHTTP","OnBeforeRedirectionDelegate","assembly-local dependency"
"BestHTTP.OnDownloadProgressDelegate","BestHTTP","OnDownloadProgressDelegate","assembly-local dependency"
"BestHTTP.OnHeaderEnumerationDelegate","BestHTTP","OnHeaderEnumerationDelegate","assembly-local dependency"
"BestHTTP.OnRequestFinishedDelegate","BestHTTP","OnRequestFinishedDelegate","assembly-local dependency"
"BestHTTP.OnUploadProgressDelegate","BestHTTP","OnUploadProgressDelegate","assembly-local dependency"
"BestHTTP.SupportedProtocols","BestHTTP","SupportedProtocols","assembly-local dependency"
"BetterList`1","","BetterList`1","assembly-local dependency"
"CameraPath","","CameraPath","assembly-local dependency"
"CameraPathAnimator","","CameraPathAnimator","closure root"
"CameraPathControlPoint","","CameraPathControlPoint","assembly-local dependency"
"CameraPathDelay","","CameraPathDelay","assembly-local dependency"
"CameraPathDelayList","","CameraPathDelayList","assembly-local dependency"
"CameraPathEvent","","CameraPathEvent","assembly-local dependency"
"CameraPathEventList","","CameraPathEventList","assembly-local dependency"
"CameraPathFOV","","CameraPathFOV","assembly-local dependency"
"CameraPathFOVList","","CameraPathFOVList","assembly-local dependency"
"CameraPathOrientation","","CameraPathOrientation","assembly-local dependency"
"CameraPathOrientationList","","CameraPathOrientationList","assembly-local dependency"
"CameraPathPoint","","CameraPathPoint","assembly-local dependency"
"CameraPathPointList","","CameraPathPointList","assembly-local dependency"
"CameraPathSpeed","","CameraPathSpeed","assembly-local dependency"
"CameraPathSpeedList","","CameraPathSpeedList","assembly-local dependency"
"CameraPathTilt","","CameraPathTilt","assembly-local dependency"
"CameraPathTiltList","","CameraPathTiltList","assembly-local dependency"
"CloudRegionCode","","CloudRegionCode","closure root"
"CodeStage.AntiCheat.ObscuredTypes.ObscuredBool","CodeStage.AntiCheat.ObscuredTypes","ObscuredBool","closure root"
"CodeStage.AntiCheat.ObscuredTypes.ObscuredFloat","CodeStage.AntiCheat.ObscuredTypes","ObscuredFloat","assembly-local dependency"
"CodeStage.AntiCheat.ObscuredTypes.ObscuredInt","CodeStage.AntiCheat.ObscuredTypes","ObscuredInt","assembly-local dependency"
"CodeStage.AntiCheat.ObscuredTypes.ObscuredUInt","CodeStage.AntiCheat.ObscuredTypes","ObscuredUInt","assembly-local dependency"
"Core_BaseScript","","Core_BaseScript","closure root"
"CoroutineReturn","","CoroutineReturn","assembly-local dependency"
"CutoutPlugin","","CutoutPlugin","closure root"
"DisconnectCause","","DisconnectCause","closure root"
"Google2u.AdBoosterWeights","Google2u","AdBoosterWeights","closure root"
"Google2u.AdBoosterWeightsRow","Google2u","AdBoosterWeightsRow","assembly-local dependency"
"Google2u.ArenaLootboxes","Google2u","ArenaLootboxes","closure root"
"Google2u.ArenaLootboxesRow","Google2u","ArenaLootboxesRow","assembly-local dependency"
"Google2u.ArmyUpgrades","Google2u","ArmyUpgrades","closure root"
"Google2u.ArmyUpgradesRow","Google2u","ArmyUpgradesRow","closure root"
"Google2u.AssaultRifle_ART8","Google2u","AssaultRifle_ART8","closure root"
"Google2u.AssaultRifle_ART8BM","Google2u","AssaultRifle_ART8BM","closure root"
"Google2u.AssaultRifle_ART8BMRow","Google2u","AssaultRifle_ART8BMRow","assembly-local dependency"
"Google2u.AssaultRifle_ART8Row","Google2u","AssaultRifle_ART8Row","assembly-local dependency"
"Google2u.AssaultRifle_ART9","Google2u","AssaultRifle_ART9","closure root"
"Google2u.AssaultRifle_ART9BM","Google2u","AssaultRifle_ART9BM","closure root"
"Google2u.AssaultRifle_ART9BMRow","Google2u","AssaultRifle_ART9BMRow","assembly-local dependency"
"Google2u.AssaultRifle_ART9Row","Google2u","AssaultRifle_ART9Row","assembly-local dependency"
"Google2u.AssaultRifle_XM8","Google2u","AssaultRifle_XM8","closure root"
"Google2u.AssaultRifle_XM8BM","Google2u","AssaultRifle_XM8BM","closure root"
"Google2u.AssaultRifle_XM8BMRow","Google2u","AssaultRifle_XM8BMRow","assembly-local dependency"
"Google2u.AssaultRifle_XM8Row","Google2u","AssaultRifle_XM8Row","assembly-local dependency"
"Google2u.AugmentationConstants","Google2u","AugmentationConstants","closure root"
"Google2u.AugmentationConstantsRow","Google2u","AugmentationConstantsRow","assembly-local dependency"
"Google2u.AugmentationCrates","Google2u","AugmentationCrates","closure root"
"Google2u.AugmentationCratesRow","Google2u","AugmentationCratesRow","assembly-local dependency"
"Google2u.AugmentationEffectMultipliers","Google2u","AugmentationEffectMultipliers","closure root"
"Google2u.AugmentationEffectMultipliersRow","Google2u","AugmentationEffectMultipliersRow","assembly-local dependency"
"Google2u.AugmentationEffectValues","Google2u","AugmentationEffectValues","closure root"
"Google2u.AugmentationEffectValuesRow","Google2u","AugmentationEffectValuesRow","assembly-local dependency"
"Google2u.AugmentationEffects","Google2u","AugmentationEffects","closure root"
"Google2u.AugmentationEffectsRow","Google2u","AugmentationEffectsRow","assembly-local dependency"
"Google2u.AugmentationLevels","Google2u","AugmentationLevels","closure root"
"Google2u.AugmentationLevelsRow","Google2u","AugmentationLevelsRow","assembly-local dependency"
"Google2u.AugmentationRarities","Google2u","AugmentationRarities","closure root"
"Google2u.AugmentationRaritiesRow","Google2u","AugmentationRaritiesRow","assembly-local dependency"
"Google2u.AugmentationTriggers","Google2u","AugmentationTriggers","closure root"
"Google2u.AugmentationTriggersRow","Google2u","AugmentationTriggersRow","assembly-local dependency"
"Google2u.Bazooka_Juggernaut","Google2u","Bazooka_Juggernaut","closure root"
"Google2u.Bazooka_JuggernautBM","Google2u","Bazooka_JuggernautBM","closure root"
"Google2u.Bazooka_JuggernautBMRow","Google2u","Bazooka_JuggernautBMRow","assembly-local dependency"
"Google2u.Bazooka_JuggernautElite","Google2u","Bazooka_JuggernautElite","closure root"
"Google2u.Bazooka_JuggernautEliteRow","Google2u","Bazooka_JuggernautEliteRow","assembly-local dependency"
"Google2u.Bazooka_JuggernautRow","Google2u","Bazooka_JuggernautRow","assembly-local dependency"
"Google2u.Bazooka_RLT8","Google2u","Bazooka_RLT8","closure root"
"Google2u.Bazooka_RLT8BM","Google2u","Bazooka_RLT8BM","closure root"
"Google2u.Bazooka_RLT8BMRow","Google2u","Bazooka_RLT8BMRow","assembly-local dependency"
"Google2u.Bazooka_RLT8Row","Google2u","Bazooka_RLT8Row","assembly-local dependency"
"Google2u.Bazooka_RLT9","Google2u","Bazooka_RLT9","closure root"
"Google2u.Bazooka_RLT9BM","Google2u","Bazooka_RLT9BM","closure root"
"Google2u.Bazooka_RLT9BMRow","Google2u","Bazooka_RLT9BMRow","assembly-local dependency"
"Google2u.Bazooka_RLT9Row","Google2u","Bazooka_RLT9Row","assembly-local dependency"
"Google2u.BoosterLevels","Google2u","BoosterLevels","closure root"
"Google2u.BoosterLevelsRow","Google2u","BoosterLevelsRow","assembly-local dependency"
"Google2u.BotPerks","Google2u","BotPerks","closure root"
"Google2u.BotPerksRow","Google2u","BotPerksRow","assembly-local dependency"
"Google2u.CardDefinitions","Google2u","CardDefinitions","closure root"
"Google2u.CardDefinitionsRow","Google2u","CardDefinitionsRow","closure root"
"Google2u.CommanderObjectives","Google2u","CommanderObjectives","closure root"
"Google2u.CommanderObjectivesRow","Google2u","CommanderObjectivesRow","assembly-local dependency"
"Google2u.Constants","Google2u","Constants","closure root"
"Google2u.ConstantsRow","Google2u","ConstantsRow","assembly-local dependency"
"Google2u.DBUpgradeSlotsBackbone","Google2u","DBUpgradeSlotsBackbone","closure root"
"Google2u.DBUpgradeSlotsBackboneRow","Google2u","DBUpgradeSlotsBackboneRow","assembly-local dependency"
"Google2u.DBUpgradeSlotsBreach","Google2u","DBUpgradeSlotsBreach","closure root"
"Google2u.DBUpgradeSlotsBreachRow","Google2u","DBUpgradeSlotsBreachRow","assembly-local dependency"
"Google2u.DBUpgradeSlotsBunker","Google2u","DBUpgradeSlotsBunker","closure root"
