full_name,namespace,name,reason
"AAIAMFCJJBK","","AAIAMFCJJBK","assembly-local dependency"
"AAJIBEIKHDK","","AAJIBEIKHDK","assembly-local dependency"
"ACNGDCINJEP","","ACNGDCINJEP","assembly-local dependency"
"AFIKFLMIBBA","","AFIKFLMIBBA","assembly-local dependency"
"AGGODCMFNHJ","","AGGODCMFNHJ","assembly-local dependency"
"AIBBJOIPAFE","","AIBBJOIPAFE","assembly-local dependency"
"AIIHHIPDAJA","","AIIHHIPDAJA","assembly-local dependency"
"AIObject","","AIObject","assembly-local dependency"
"AIObjectG`1","","AIObjectG`1","assembly-local dependency"
"AJHPODMFICL","","AJHPODMFICL","assembly-local dependency"
"APOHBFICGML","","APOHBFICGML","assembly-local dependency"
"AboutFun.Warfriends.Services.AugmentationGuiElement","AboutFun.Warfriends.Services","AugmentationGuiElement","closure root"
"AboutFun.Warfriends.Services.AugmentationHudIcon","AboutFun.Warfriends.Services","AugmentationHudIcon","closure root"
"AccountType","","AccountType","assembly-local dependency"
"AimTarget","","AimTarget","assembly-local dependency"
"AllTimeContent","","AllTimeContent","assembly-local dependency"
"Ammo","","Ammo","assembly-local dependency"
"AmmoSetup","","AmmoSetup","assembly-local dependency"
"AnimationController","","AnimationController","assembly-local dependency"
"AnimationEvent","","AnimationEvent","assembly-local dependency"
"AntiCheatDetector","","AntiCheatDetector","assembly-local dependency"
"AppleSignInManager","","AppleSignInManager","closure root"
"ArenaDetectedCheaterDialog","","ArenaDetectedCheaterDialog","closure root"
"ArenaEqualPowerDialog","","ArenaEqualPowerDialog","closure root"
"ArmyPowerAnimation","","ArmyPowerAnimation","assembly-local dependency"
"ArmyStatProgressBar","","ArmyStatProgressBar","assembly-local dependency"
"Arrow","","Arrow","closure root"
"Assets.Scripts.GUI.ScreenNavigator","Assets.Scripts.GUI","ScreenNavigator","closure root"
"Assets.Scripts.Game.Invasion.InvasionBattleController","Assets.Scripts.Game.Invasion","InvasionBattleController","closure root"
"AugHintInfo","","AugHintInfo","closure root"
"AugmentationCrateDialog","","AugmentationCrateDialog","closure root"
"AugmentationFusionSlot","","AugmentationFusionSlot","closure root"
"AugmentationManager","","AugmentationManager","closure root"
"AugmentationSlot","","AugmentationSlot","closure root"
"AugmentationSummaryGuiRecord","","AugmentationSummaryGuiRecord","closure root"
"AugmentationTutorialDialog","","AugmentationTutorialDialog","closure root"
"AugmentationVisualIcon","","AugmentationVisualIcon","closure root"
"AugmentationsButton","","AugmentationsButton","closure root"
"AugmentationsFusionScreen","","AugmentationsFusionScreen","closure root"
"AugmentationsScreen","","AugmentationsScreen","closure root"
"AutomaticRifle","","AutomaticRifle","assembly-local dependency"
"AwaitingSquadMembersManager","","AwaitingSquadMembersManager","assembly-local dependency"
"BAGFOPJKOME","","BAGFOPJKOME","assembly-local dependency"
"BBFBFANGDJP","","BBFBFANGDJP","assembly-local dependency"
"BBGEENNPNOA","","BBGEENNPNOA","assembly-local dependency"
"BBHBMFEDANN","","BBHBMFEDANN","assembly-local dependency"
"BEFFDLMFIND","","BEFFDLMFIND","assembly-local dependency"
"BHDAFNGBMHF","","BHDAFNGBMHF","assembly-local dependency"
"BKOIHDOEEFE","","BKOIHDOEEFE","assembly-local dependency"
"BMBigSlotRecord","","BMBigSlotRecord","closure root"
"BMSmallSlotRecord","","BMSmallSlotRecord","closure root"
"BNAICKJBHFH","","BNAICKJBHFH","assembly-local dependency"
"Background","","Background","assembly-local dependency"
"BarrelsManager","","BarrelsManager","closure root"
"BatchedWeapon","","BatchedWeapon","assembly-local dependency"
"BattleAugCrateManager","","BattleAugCrateManager","closure root"
"BattleCompareArmyRecord","","BattleCompareArmyRecord","closure root"
"BattleCompareArmyWeaponsPart","","BattleCompareArmyWeaponsPart","closure root"
"BattleCompareDialog","","BattleCompareDialog","closure root"
"BattleCompareHint","","BattleCompareHint","closure root"
"BattleCompareHintStatRecord","","BattleCompareHintStatRecord","closure root"
"BattleComparePlayer","","BattleComparePlayer","closure root"
"BattleCompareStatRecord","","BattleCompareStatRecord","closure root"
"BattleCompareWarcardRecord","","BattleCompareWarcardRecord","closure root"
"BattleCompareWeaponRecord","","BattleCompareWeaponRecord","closure root"
"BattleDetailsGuiRecord","","BattleDetailsGuiRecord","closure root"
"BattleHistoryStats","","BattleHistoryStats","closure root"
"BattleReversionDialog","","BattleReversionDialog","closure root"
"BattleShareDialog","","BattleShareDialog","closure root"
"Bazooka","","Bazooka","assembly-local dependency"
"BazookaWithMuzzle","","BazookaWithMuzzle","closure root"
"BeanstalkServerManager","","BeanstalkServerManager","assembly-local dependency"
"BehaviourDefinititon","","BehaviourDefinititon","assembly-local dependency"
"BigSpritesLoader","","BigSpritesLoader","closure root"
"BlackMarketStoreManager","","BlackMarketStoreManager","closure root"
"BlackmarketPurchaseConfirmDialog","","BlackmarketPurchaseConfirmDialog","closure root"
"BlackmarketUnitConfirmDialog","","BlackmarketUnitConfirmDialog","closure root"
"BlackmarketWeaponStatisticGUI","","BlackmarketWeaponStatisticGUI","assembly-local dependency"
"BoosterManager","","BoosterManager","closure root"
"BoosterRecord","","BoosterRecord","closure root"
"BoosterRewardDialog","","BoosterRewardDialog","closure root"
"BoosterTutorialRecord","","BoosterTutorialRecord","closure root"
"BoosterUpgradesDialog","","BoosterUpgradesDialog","closure root"
"Bow","","Bow","closure root"
"BreachTurret","","BreachTurret","closure root"
"BulletBase","","BulletBase","assembly-local dependency"
"BulletLighting","","BulletLighting","closure root"
"BulletPulseRifle","","BulletPulseRifle","closure root"
"BulletSetup","","BulletSetup","assembly-local dependency"
"BulletSlow","","BulletSlow","assembly-local dependency"
"Bunker","","Bunker","closure root"
"BunkerBehaviour","","BunkerBehaviour","closure root"
"BunkerBehaviourDefinititon","","BunkerBehaviourDefinititon","assembly-local dependency"
"BunkerGun","","BunkerGun","closure root"
"BunkerParachute","","BunkerParachute","closure root"
"BuyWarbucksInstantlyDialog","","BuyWarbucksInstantlyDialog","closure root"
"CDJGGLCLOAC","","CDJGGLCLOAC","assembly-local dependency"
"CMONKDOGAHD","","CMONKDOGAHD","assembly-local dependency"
"CameraPlayerFollow","","CameraPlayerFollow","assembly-local dependency"
"CamosManager","","CamosManager","assembly-local dependency"
"CamosTabButton","","CamosTabButton","assembly-local dependency"
"Card","","Card","assembly-local dependency"
"CardBuddy","","CardBuddy","assembly-local dependency"
"CardContainer","","CardContainer","assembly-local dependency"
"CardIconIndicator","","CardIconIndicator","assembly-local dependency"
"CardManager","","CardManager","assembly-local dependency"
"CardMenuOwerlay","","CardMenuOwerlay","assembly-local dependency"
"CardRecord","","CardRecord","assembly-local dependency"
"CardSet","","CardSet","assembly-local dependency"
"CardpoolCard","","CardpoolCard","assembly-local dependency"
"CardpoolRecord","","CardpoolRecord","assembly-local dependency"
"CheckBoxButton","","CheckBoxButton","assembly-local dependency"
"CircleProgress","","CircleProgress","assembly-local dependency"
"CommanderData","","CommanderData","assembly-local dependency"
"CommanderManager","","CommanderManager","closure root"
"CommanderObjectiveData","","CommanderObjectiveData","assembly-local dependency"
"CommanderScreen","","CommanderScreen","closure root"
"CompareMedalsRecord","","CompareMedalsRecord","closure root"
"ConfirmDialog","","ConfirmDialog","assembly-local dependency"
"CovertManager","","CovertManager","closure root"
"CrateButtonRecord","","CrateButtonRecord","closure root"
"CrateCamera","","CrateCamera","closure root"
"CreditsGUIOneLine","","CreditsGUIOneLine","closure root"
"CreditsGUITwoLine","","CreditsGUITwoLine","closure root"
"Crossbow","","Crossbow","closure root"
"CustomEventData","","CustomEventData","assembly-local dependency"
"CustomPackRecord","","CustomPackRecord","closure root"
"DAENECCJJNP","","DAENECCJJNP","assembly-local dependency"
"DBGKCOIJIOM","","DBGKCOIJIOM","assembly-local dependency"
"DBKHOLCDPJA","","DBKHOLCDPJA","assembly-local dependency"
"DJHCOHGFEJE","","DJHCOHGFEJE","assembly-local dependency"
"DJLLCPELJDB","","DJLLCPELJDB","assembly-local dependency"
"DKLFANCEFML","","DKLFANCEFML","assembly-local dependency"
"DLLJEBLPPME","","DLLJEBLPPME","assembly-local dependency"
"DMHJBMDKJNO","","DMHJBMDKJNO","assembly-local dependency"
"DailyRewardButton","","DailyRewardButton","closure root"
"DailyRewardScreen","","DailyRewardScreen","closure root"
"DatabaseAction","","DatabaseAction","assembly-local dependency"
"DatabaseEnvironment","","DatabaseEnvironment","assembly-local dependency"
"DatabasePlayer","","DatabasePlayer","assembly-local dependency"
"DatabasePlayerInfo","","DatabasePlayerInfo","assembly-local dependency"
"DatabaseSerializedObject","","DatabaseSerializedObject","assembly-local dependency"
"DatabaseSerializedObjectGeneric`1","","DatabaseSerializedObjectGeneric`1","assembly-local dependency"
"DeathMatchGuiCardProgress","","DeathMatchGuiCardProgress","assembly-local dependency"
"DeathMatchGuiCardProgressPosition","","DeathMatchGuiCardProgressPosition","closure root"
"DestroyableObject","","DestroyableObject","assembly-local dependency"
"DestroyableObjectMultipleParts","","DestroyableObjectMultipleParts","assembly-local dependency"
"DestroyableObjectPlayer","","DestroyableObjectPlayer","assembly-local dependency"
"DestroyableObjectpart","","DestroyableObjectpart","assembly-local dependency"
